trial_id,actual_gesture,expected_label,expected_command,start_utc,duration_s,frames,mode_label,mode_label_ratio,correct_label_frames,correct_label_ratio,stable_label_counts,command_counts,first_matching_label_s,first_stable_label_s,observed_stable_label,observed_command,result,notes
live_01_nohand,NoHand,None,"DRIVE,0,0",2026-04-24T13:14:00.769034+00:00,10.000,54,None,1.000000,54,1.000000,{},{},0.049880,NA,,,pass_safety,No hand in frame; safety baseline.
live_02_zero,Zero,Zero,"DRIVE,0,0",2026-04-24T13:14:36.414833+00:00,10.000,50,Five,0.680000,0,0.000000,{'Five': 2},"{'DRIVE,250,0': 2}",NA,1.541317,Five,"DRIVE,250,0",fail,Closed fist / zero gesture under live E10 collection.
live_03_zero_centered,Zero,Zero,"DRIVE,0,0",2026-04-24T14:14:35.221565+00:00,10.000,41,Zero,0.536585,22,0.536585,{'Zero': 1},"{'DRIVE,0,0': 1}",6.091610,6.466236,Zero,"DRIVE,0,0",pass,Closed fist zero gesture retest with centered hand and live preview.
live_04_five_centered,Five,Five,"DRIVE,250,0",2026-04-24T14:15:15.034299+00:00,10.000,46,Five,0.804348,37,0.804348,{'Five': 1},"{'DRIVE,250,0': 1}",2.872487,3.245760,Five,"DRIVE,250,0",pass,Open palm Five gesture with centered hand and live preview.
live_05_pointleft_centered,PointLeft,PointLeft,"DRIVE,0,600",2026-04-24T14:16:04.084420+00:00,10.000,46,None,1.000000,0,0.000000,{},{},NA,NA,,,fail,Index finger pointing to image-left; other fingers folded as much as possible.
live_06_pointleft_after_rule_patch,PointLeft,PointLeft,"DRIVE,0,600",2026-04-24T14:27:33.153189+00:00,10.000,36,PointLeft,0.500000,18,0.500000,"{'PointRight': 1, 'PointLeft': 1}","{'DRIVE,0,-600': 1, 'DRIVE,0,600': 1}",5.982669,3.650247,PointRight,"DRIVE,0,-600",pass,PointLeft retest after relaxed folded-finger rule; index points to image-left.
live_07_pointleft_image_left_clean,PointLeft,PointLeft,"DRIVE,0,600",2026-04-24T14:28:28.518121+00:00,10.000,34,PointLeft,1.000000,34,1.000000,{'PointLeft': 1},"{'DRIVE,0,600': 1}",1.716427,2.951884,PointLeft,"DRIVE,0,600",pass,"Clean PointLeft retest: finger tip on image-left, wrist on image-right."
live_08_pointright_image_right_clean,PointRight,PointRight,"DRIVE,0,-600",2026-04-24T14:29:08.524831+00:00,10.000,36,PointRight,1.000000,36,1.000000,{'PointRight': 1},"{'DRIVE,0,-600': 1}",0.032724,1.191625,PointRight,"DRIVE,0,-600",pass,"Clean PointRight test: finger tip on image-right, wrist on image-left."
live_09_thumb_up_clean,Thumb_up,Thumb_up,JUMP,2026-04-24T14:29:49.504771+00:00,10.000,48,Thumb_up,0.791667,38,0.791667,{'Thumb_up': 2},{'JUMP': 2},0.031736,1.326297,Thumb_up,JUMP,pass,"Thumb_up test: thumb vertical upward, other fingers folded; dry-run data collection only."
