# source=measured_tcp_idle_watchdog, provisional=false, host=172.20.10.4, port=23
trial,hello,acks,evt_line,pc_wait_to_evt_ms,evt_kind,evt_reason
1,"HELLO,14253,wheeleg_tcp,172.20.10.4:23","ACK,14373,0,DRIVE,0,0|ACK,14379,0,YAWRATE,0|ACK,14385,0,QUEUE_STOP","EVT,15892,FULL_STOP,idle_timeout",1483.702019,FULL_STOP,idle_timeout
2,"HELLO,16337,wheeleg_tcp,172.20.10.4:23","ACK,16354,0,DRIVE,0,0|ACK,16359,0,YAWRATE,0|ACK,16365,0,QUEUE_STOP","EVT,17872,FULL_STOP,idle_timeout",1469.474424,FULL_STOP,idle_timeout
3,"HELLO,18286,wheeleg_tcp,172.20.10.4:23","ACK,18313,0,DRIVE,0,0|ACK,18319,0,YAWRATE,0|ACK,18325,0,QUEUE_STOP","EVT,19829,FULL_STOP,idle_timeout",1483.132424,FULL_STOP,idle_timeout
4,"HELLO,20123,wheeleg_tcp,172.20.10.4:23","ACK,20212,0,DRIVE,0,0|ACK,20219,0,YAWRATE,0|ACK,20224,0,QUEUE_STOP","EVT,21732,FULL_STOP,idle_timeout",1497.342639,FULL_STOP,idle_timeout
5,"HELLO,22076,wheeleg_tcp,172.20.10.4:23","ACK,22153,0,DRIVE,0,0|ACK,22160,0,YAWRATE,0|ACK,22165,0,QUEUE_STOP","EVT,23672,FULL_STOP,idle_timeout",1510.88001,FULL_STOP,idle_timeout
6,"HELLO,24119,wheeleg_tcp,172.20.10.4:23","ACK,24146,0,DRIVE,0,0|ACK,24153,0,YAWRATE,0|ACK,24157,0,QUEUE_STOP","EVT,25662,FULL_STOP,idle_timeout",1479.022874,FULL_STOP,idle_timeout
7,"HELLO,25963,wheeleg_tcp,172.20.10.4:23","ACK,25992,0,DRIVE,0,0|ACK,25997,0,YAWRATE,0|ACK,26002,0,QUEUE_STOP","EVT,27507,FULL_STOP,idle_timeout",1477.238335,FULL_STOP,idle_timeout
8,"HELLO,27791,wheeleg_tcp,172.20.10.4:23","ACK,27818,0,DRIVE,0,0|ACK,27824,0,YAWRATE,0|ACK,27829,0,QUEUE_STOP","EVT,29332,FULL_STOP,idle_timeout",1463.267778,FULL_STOP,idle_timeout
9,"HELLO,29664,wheeleg_tcp,172.20.10.4:23","ACK,29731,0,DRIVE,0,0|ACK,29737,0,YAWRATE,0|ACK,29743,0,QUEUE_STOP","EVT,31247,FULL_STOP,idle_timeout",1509.17667,FULL_STOP,idle_timeout
10,"HELLO,31593,wheeleg_tcp,172.20.10.4:23","ACK,31610,0,DRIVE,0,0|ACK,31615,0,YAWRATE,0|ACK,31621,0,QUEUE_STOP","EVT,33127,FULL_STOP,idle_timeout",1465.494805,FULL_STOP,idle_timeout
