# source=measured_ctrl_looplog_tcp, provisional=false
# hello_start=HELLO,42501,wheeleg_tcp,172.20.10.4:23
# start_ack=ACK,42581,0,LOOPLOG_START,100
# hello_dump=HELLO,43937,wheeleg_tcp,172.20.10.4:23
# dump_begin=LOOPLOG_DUMP_BEGIN,100,unit_us
# dump_end=LOOPLOG_DUMP_END,100
# dump_ack=ACK,44757,0,LOOPLOG_DUMP_TCP
idx,dt_us
0,5787
1,1771
2,4020
3,4016
4,3980
5,4132
6,3917
7,3951
8,4020
9,3980
10,4666
11,4923
12,2415
13,4103
14,3929
15,3995
16,3987
17,3986
18,4016
19,3980
20,4034
21,3983
22,12811
23,98
24,11
25,4242
26,2965
27,3860
28,4286
29,3714
30,4309
31,3708
32,3987
33,4004
34,4000
35,4020
36,4700
37,3427
38,3952
39,3901
40,4020
41,3989
42,3987
43,4004
44,4000
45,5130
46,2883
47,5930
48,2084
49,4215
50,3779
51,3982
52,3997
53,3996
54,4043
55,4012
56,3954
57,3983
58,4008
59,3996
60,4028
61,5518
62,2601
63,3976
64,3980
65,3925
66,3985
67,3995
68,3996
69,4000
70,4017
71,4465
72,3530
73,4336
74,6810
75,884
76,3969
77,3985
78,4337
79,3667
80,4061
81,3948
82,3987
83,3996
84,4000
85,4033
86,3985
87,4085
88,4522
89,3403
90,4018
91,3960
92,3998
93,4012
94,4027
95,3989
96,3989
97,3983
98,5030
99,2982
